Dataset,Algorithm,Method,Layer,Accuracy,AUC
commonsense_qa,Logistic Regression,Black Box (Logprobs),N/A,0.806,0.737778125
commonsense_qa,Logistic Regression,White Box (Probes),1,0.8,0.517909375
commonsense_qa,Logistic Regression,White Box (Probes),3,0.759,0.531465625
commonsense_qa,Logistic Regression,White Box (Probes),5,0.743,0.5576093750000001
commonsense_qa,Logistic Regression,White Box (Probes),7,0.764,0.6668218750000001
commonsense_qa,Logistic Regression,White Box (Probes),9,0.796,0.735415625
commonsense_qa,Logistic Regression,White Box (Probes),11,0.82,0.7982218750000001
commonsense_qa,Logistic Regression,White Box (Probes),13,0.822,0.820746875
commonsense_qa,Logistic Regression,White Box (Probes),15,0.834,0.824478125
commonsense_qa,Logistic Regression,White Box (Probes),17,0.846,0.8208656249999999
commonsense_qa,Logistic Regression,White Box (Probes),19,0.819,0.7953468749999999
commonsense_qa,Logistic Regression,White Box (Probes),21,0.821,0.790996875
commonsense_qa,Logistic Regression,White Box (Probes),23,0.81,0.7965593750000001
commonsense_qa,Logistic Regression,White Box (Probes),25,0.82,0.790765625
commonsense_qa,Logistic Regression,White Box (Probes),27,0.819,0.784990625
commonsense_qa,Logistic Regression,White Box (Probes),29,0.821,0.786271875
commonsense_qa,Logistic Regression,White Box (Probes),31,0.823,0.785971875
commonsense_qa,Difference in Means (DiM),Black Box (Logprobs),N/A,0.806,0.737778125
commonsense_qa,Difference in Means (DiM),White Box (Probes),1,0.8,0.502615625
commonsense_qa,Difference in Means (DiM),White Box (Probes),3,0.733,0.530190625
commonsense_qa,Difference in Means (DiM),White Box (Probes),5,0.683,0.556753125
commonsense_qa,Difference in Means (DiM),White Box (Probes),7,0.645,0.620659375
commonsense_qa,Difference in Means (DiM),White Box (Probes),9,0.697,0.6863406249999999
commonsense_qa,Difference in Means (DiM),White Box (Probes),11,0.691,0.764134375
commonsense_qa,Difference in Means (DiM),White Box (Probes),13,0.664,0.787940625
commonsense_qa,Difference in Means (DiM),White Box (Probes),15,0.644,0.789596875
commonsense_qa,Difference in Means (DiM),White Box (Probes),17,0.641,0.7771656250000001
commonsense_qa,Difference in Means (DiM),White Box (Probes),19,0.598,0.759253125
commonsense_qa,Difference in Means (DiM),White Box (Probes),21,0.591,0.7563531250000001
commonsense_qa,Difference in Means (DiM),White Box (Probes),23,0.585,0.7540843749999999
commonsense_qa,Difference in Means (DiM),White Box (Probes),25,0.553,0.745046875
commonsense_qa,Difference in Means (DiM),White Box (Probes),27,0.59,0.746203125
commonsense_qa,Difference in Means (DiM),White Box (Probes),29,0.591,0.7472906249999999
commonsense_qa,Difference in Means (DiM),White Box (Probes),31,0.62,0.753259375
arc_challenge,Logistic Regression,Black Box (Logprobs),N/A,0.75,0.7095782424374599
arc_challenge,Logistic Regression,White Box (Probes),1,0.742,0.5100931387932914
arc_challenge,Logistic Regression,White Box (Probes),3,0.731,0.5387209506433545
arc_challenge,Logistic Regression,White Box (Probes),5,0.709,0.5304655875829126
arc_challenge,Logistic Regression,White Box (Probes),7,0.674,0.5270293990925483
arc_challenge,Logistic Regression,White Box (Probes),9,0.685,0.5655668381214793
arc_challenge,Logistic Regression,White Box (Probes),11,0.713,0.6356576364767897
arc_challenge,Logistic Regression,White Box (Probes),13,0.733,0.7000622343735872
arc_challenge,Logistic Regression,White Box (Probes),15,0.721,0.697259027973553
arc_challenge,Logistic Regression,White Box (Probes),17,0.719,0.6824185235027844
arc_challenge,Logistic Regression,White Box (Probes),19,0.706,0.6668333342198629
arc_challenge,Logistic Regression,White Box (Probes),21,0.695,0.656397108495258
arc_challenge,Logistic Regression,White Box (Probes),23,0.695,0.6459236485300454
arc_challenge,Logistic Regression,White Box (Probes),25,0.703,0.6456204554279543
arc_challenge,Logistic Regression,White Box (Probes),27,0.699,0.6363491295166465
arc_challenge,Logistic Regression,White Box (Probes),29,0.68,0.6446044925770883
arc_challenge,Logistic Regression,White Box (Probes),31,0.674,0.6356735940084788
arc_challenge,Difference in Means (DiM),Black Box (Logprobs),N/A,0.75,0.7095782424374599
arc_challenge,Difference in Means (DiM),White Box (Probes),1,0.359,0.5005718115521891
arc_challenge,Difference in Means (DiM),White Box (Probes),3,0.352,0.536625194814866
arc_challenge,Difference in Means (DiM),White Box (Probes),5,0.314,0.5447635359762553
arc_challenge,Difference in Means (DiM),White Box (Probes),7,0.489,0.5510667609934096
arc_challenge,Difference in Means (DiM),White Box (Probes),9,0.553,0.5784232894855823
arc_challenge,Difference in Means (DiM),White Box (Probes),11,0.493,0.651726870887611
arc_challenge,Difference in Means (DiM),White Box (Probes),13,0.588,0.7106846313012303
arc_challenge,Difference in Means (DiM),White Box (Probes),15,0.593,0.7134825185240348
arc_challenge,Difference in Means (DiM),White Box (Probes),17,0.6,0.7075250400268087
arc_challenge,Difference in Means (DiM),White Box (Probes),19,0.629,0.6973334964547684
arc_challenge,Difference in Means (DiM),White Box (Probes),21,0.638,0.6857642859802446
arc_challenge,Difference in Means (DiM),White Box (Probes),23,0.628,0.6801791498890951
arc_challenge,Difference in Means (DiM),White Box (Probes),25,0.621,0.684705769711541
arc_challenge,Difference in Means (DiM),White Box (Probes),27,0.588,0.6875089761115751
arc_challenge,Difference in Means (DiM),White Box (Probes),29,0.638,0.681790860589684
arc_challenge,Difference in Means (DiM),White Box (Probes),31,0.602,0.6536417746902909
open_book_qa,Logistic Regression,Black Box (Logprobs),N/A,0.771,0.7254666666666667
open_book_qa,Logistic Regression,White Box (Probes),1,0.737,0.5739306666666667
open_book_qa,Logistic Regression,White Box (Probes),3,0.72,0.61936
open_book_qa,Logistic Regression,White Box (Probes),5,0.721,0.6126186666666668
open_book_qa,Logistic Regression,White Box (Probes),7,0.719,0.6557173333333334
open_book_qa,Logistic Regression,White Box (Probes),9,0.713,0.680992
open_book_qa,Logistic Regression,White Box (Probes),11,0.756,0.7386826666666666
open_book_qa,Logistic Regression,White Box (Probes),13,0.749,0.762352
open_book_qa,Logistic Regression,White Box (Probes),15,0.764,0.784608
open_book_qa,Logistic Regression,White Box (Probes),17,0.753,0.77728
open_book_qa,Logistic Regression,White Box (Probes),19,0.736,0.763136
open_book_qa,Logistic Regression,White Box (Probes),21,0.72,0.7573813333333334
open_book_qa,Logistic Regression,White Box (Probes),23,0.733,0.7547040000000002
open_book_qa,Logistic Regression,White Box (Probes),25,0.728,0.7473973333333334
open_book_qa,Logistic Regression,White Box (Probes),27,0.732,0.7502133333333333
open_book_qa,Logistic Regression,White Box (Probes),29,0.734,0.7343626666666667
open_book_qa,Logistic Regression,White Box (Probes),31,0.723,0.7169066666666668
