Dataset,Black Box AUC,Best WB LR AUC,Best WB DiM AUC,Black Box Acc,Best WB LR Acc,Best WB DiM Acc
commonsense_qa,0.738,0.824 (L15),0.790 (L15),0.806,0.834,0.644
arc_challenge,0.710,0.700 (L13),0.713 (L15),0.750,0.733,0.593
open_book_qa,0.725,0.785 (L15),0.719 (L15),0.771,0.764,0.364
got_cities,0.999,1.000 (L17),0.999 (L15),0.983,0.993,0.983
got_sp_en_trans,0.982,1.000 (L29),0.986 (L27),0.974,0.983,0.871
got_larger_than,0.980,1.000 (L27),0.912 (L27),0.924,0.995,0.759
got_cities_cities_conj,0.994,0.999 (L21),0.995 (L29),0.966,0.988,0.938
got_cities_cities_disj,0.951,0.995 (L29),0.887 (L15),0.870,0.969,0.808
imdb,0.999,1.000 (L1),1.000 (L1),0.985,1.000,1.000
copa,0.456,0.459 (L1),0.554 (L21),0.450,0.450,0.550
boolq,0.676,0.680 (L15),0.668 (L17),0.642,0.625,0.620
