AUC,MAP,BRP_90,Dataset,Access_Level,Method,Layer
0.8108031250000001,0.5766491169045007,0.045,commonsense_qa,Level 3,Logistic Regression,14
0.806715625,0.5531715718941506,0.045,commonsense_qa,Level 3,Difference in Means,15
0.673128125,0.3431065916076311,0.0,commonsense_qa,Level 3,Linear Artificial Tomography,26
0.6962406250000001,0.3683842643446775,0.015,commonsense_qa,Level 3,Contrast-Consistent Search,14
0.6210156250000002,0.2755680926945738,0.0,commonsense_qa,Level 3,Linear Discriminant Analysis,17
0.677503125,0.3484178254923651,0.0,commonsense_qa,Level 3,Principal Component Analysis,26
0.678271875,0.3793307601765562,0.015,commonsense_qa,Level 3,Grouped PCA,18
0.867828125,0.6761144652150111,0.195,commonsense_qa,Level 3,Grouped Logistic Regression,15
0.5829333333333333,0.3140816926700323,0.0,race,Level 3,Logistic Regression,10
0.6275839999999999,0.3659179697280593,0.0,race,Level 3,Difference in Means,13
0.504896,0.2511498657329819,0.0,race,Level 3,Linear Artificial Tomography,22
0.5474453333333333,0.2951801700017843,0.0,race,Level 3,Contrast-Consistent Search,16
0.5502400000000001,0.3038628779177281,0.016,race,Level 3,Linear Discriminant Analysis,9
0.5028,0.2490824316996214,0.0,race,Level 3,Principal Component Analysis,23
0.5375946666666667,0.2879622707637607,0.0,race,Level 3,Grouped PCA,5
0.5959519999999999,0.3315034682580384,0.0,race,Level 3,Grouped Logistic Regression,9
0.8905929978235176,0.7641476109851207,0.3253012048192771,arc_easy,Level 3,Logistic Regression,15
0.8777480093476434,0.6977096791118047,0.144578313253012,arc_easy,Level 3,Difference in Means,14
0.5232327445601314,0.2605189635346345,0.0,arc_easy,Level 3,Linear Artificial Tomography,12
0.9039353151621132,0.7698460060720819,0.253012048192771,arc_easy,Level 3,Contrast-Consistent Search,15
0.67662393916545,0.3961483975545551,0.0040160642570281,arc_easy,Level 3,Linear Discriminant Analysis,15
0.5224519917218808,0.2670627579449228,0.0,arc_easy,Level 3,Principal Component Analysis,11
0.8505179172081133,0.6487852820487785,0.0080321285140562,arc_easy,Level 3,Grouped PCA,13
0.9430852571404126,0.8881947217846972,0.6586345381526104,arc_easy,Level 3,Grouped Logistic Regression,15
0.7396103170761547,0.4814030350190689,0.0079681274900398,arc_challenge,Level 3,Logistic Regression,14
0.725075665296092,0.4761130672163955,0.0159362549800796,arc_challenge,Level 3,Difference in Means,14
0.5157687008973452,0.2664620332311113,0.0,arc_challenge,Level 3,Linear Artificial Tomography,15
0.5719338932653897,0.2971367717456996,0.0039840637450199,arc_challenge,Level 3,Contrast-Consistent Search,13
0.5592848898132436,0.3055825214041137,0.0039840637450199,arc_challenge,Level 3,Linear Discriminant Analysis,17
0.5128165575348805,0.2642298243273919,0.0,arc_challenge,Level 3,Principal Component Analysis,15
0.6448066213118155,0.363750196571473,0.0039840637450199,arc_challenge,Level 3,Grouped PCA,15
0.7797541476284449,0.5912178916838776,0.0557768924302788,arc_challenge,Level 3,Grouped Logistic Regression,15
0.7868106666666667,0.5851709236503813,0.116,open_book_qa,Level 3,Logistic Regression,16
0.7216693333333334,0.4926996635001188,0.012,open_book_qa,Level 3,Difference in Means,15
0.5589813333333333,0.2760278838887745,0.0,open_book_qa,Level 3,Linear Artificial Tomography,4
0.5291306666666666,0.2697625120770558,0.0,open_book_qa,Level 3,Contrast-Consistent Search,14
0.6389653333333334,0.371243652731783,0.0,open_book_qa,Level 3,Linear Discriminant Analysis,16
0.5615093333333334,0.2773109411854735,0.0,open_book_qa,Level 3,Principal Component Analysis,4
0.5735146666666666,0.278122732600324,0.0,open_book_qa,Level 3,Grouped PCA,5
0.869712,0.7344566008890581,0.316,open_book_qa,Level 3,Grouped Logistic Regression,16
0.9998801860384058,0.999882641787978,1.0,got_cities,Level 3,Logistic Regression,14
0.9995098519752966,0.9994864027777376,1.0,got_cities,Level 3,Difference in Means,14
0.9422496705116056,0.9505861702420269,0.8118811881188119,got_cities,Level 3,Linear Artificial Tomography,32
0.9999019703950592,0.999902643897858,1.0,got_cities,Level 3,Contrast-Consistent Search,30
0.9999455391083664,0.9999461067788978,1.0,got_cities,Level 3,Linear Discriminant Analysis,25
0.9550915487588364,0.9628199328618248,0.8415841584158416,got_cities,Level 3,Principal Component Analysis,32
0.898822555522879,0.9066555805410212,0.5808580858085809,got_cities,Level 3,Grouped PCA,32
0.9998910782167326,0.9998918166193071,1.0,got_cities,Level 3,Grouped Logistic Regression,14
1.0,1.0000000000000002,1.0,got_sp_en_trans,Level 3,Logistic Regression,31
0.985285374554102,0.9893957762892668,0.9655172413793104,got_sp_en_trans,Level 3,Difference in Means,30
0.8626634958382877,0.8693296542157467,0.4827586206896552,got_sp_en_trans,Level 3,Linear Artificial Tomography,32
1.0,1.0000000000000002,1.0,got_sp_en_trans,Level 3,Contrast-Consistent Search,32
0.9994054696789536,0.999410508071505,1.0,got_sp_en_trans,Level 3,Linear Discriminant Analysis,29
0.8653388822829964,0.8598551928399703,0.5,got_sp_en_trans,Level 3,Principal Component Analysis,32
0.72294887039239,0.738618334671471,0.3103448275862069,got_sp_en_trans,Level 3,Grouped PCA,32
0.9997027348394768,0.9997077732320282,1.0,got_sp_en_trans,Level 3,Grouped Logistic Regression,13
0.9999648236197668,0.999964907698649,1.0,got_larger_than,Level 3,Logistic Regression,30
0.9114698450480452,0.933471850039116,0.774818401937046,got_larger_than,Level 3,Difference in Means,32
0.8946936430418189,0.919197498484475,0.7457627118644068,got_larger_than,Level 3,Linear Artificial Tomography,32
0.5344230194232247,0.5616384764138087,0.0460048426150121,got_larger_than,Level 3,Contrast-Consistent Search,26
