Dataset,Condition,Method,Algorithm,Layer,AUC,MAP,BRP_90
commonsense_qa,Setup A (Balanced),Black Box,BB,N/A,0.7560800000000001,0.7258696497499724,0.028
commonsense_qa,Setup B (Imbalanced),Black Box,BB,N/A,0.7489159999999999,0.7165935637881519,0.038
commonsense_qa,Setup A (Balanced),White Box,LR,1,0.5027159999999999,0.5085822450689494,0.002
commonsense_qa,Setup B (Imbalanced),White Box,LR,1,0.507684,0.5146194834533363,0.004
commonsense_qa,Setup A (Balanced),White Box,LR,3,0.49715200000000004,0.5048103184454373,0.002
commonsense_qa,Setup B (Imbalanced),White Box,LR,3,0.502496,0.5145050897460657,0.0
commonsense_qa,Setup A (Balanced),White Box,LR,5,0.5215920000000001,0.5299127683452599,0.002
commonsense_qa,Setup B (Imbalanced),White Box,LR,5,0.526648,0.5305392409559282,0.004
commonsense_qa,Setup A (Balanced),White Box,LR,7,0.600096,0.5864438564511747,0.006
commonsense_qa,Setup B (Imbalanced),White Box,LR,7,0.5864199999999999,0.578597606741552,0.006
commonsense_qa,Setup A (Balanced),White Box,LR,9,0.6857159999999999,0.6614342530265754,0.0
commonsense_qa,Setup B (Imbalanced),White Box,LR,9,0.679828,0.6533970102204152,0.002
commonsense_qa,Setup A (Balanced),White Box,LR,11,0.762692,0.7447011235436023,0.076
commonsense_qa,Setup B (Imbalanced),White Box,LR,11,0.756092,0.7354454079575596,0.01
commonsense_qa,Setup A (Balanced),White Box,LR,13,0.81024,0.7897838156794439,0.182
commonsense_qa,Setup B (Imbalanced),White Box,LR,13,0.8029080000000001,0.773770552968157,0.006
commonsense_qa,Setup A (Balanced),White Box,LR,15,0.8253680000000001,0.8058748351644656,0.22
commonsense_qa,Setup B (Imbalanced),White Box,LR,15,0.8186039999999999,0.7944241581695528,0.182
commonsense_qa,Setup A (Balanced),White Box,LR,17,0.82874,0.808315295490726,0.276
commonsense_qa,Setup B (Imbalanced),White Box,LR,17,0.8279719999999999,0.8025255685725691,0.146
commonsense_qa,Setup A (Balanced),White Box,LR,19,0.822236,0.7988694027865324,0.138
commonsense_qa,Setup B (Imbalanced),White Box,LR,19,0.8200719999999998,0.7986225840002172,0.116
commonsense_qa,Setup A (Balanced),White Box,LR,21,0.8158,0.7938702521212169,0.054
commonsense_qa,Setup B (Imbalanced),White Box,LR,21,0.812708,0.7917247425288104,0.124
commonsense_qa,Setup A (Balanced),White Box,LR,23,0.8147439999999999,0.7929074852326832,0.076
commonsense_qa,Setup B (Imbalanced),White Box,LR,23,0.8005,0.7811198772023126,0.118
commonsense_qa,Setup A (Balanced),White Box,LR,25,0.8003239999999998,0.7838674186642948,0.022
commonsense_qa,Setup B (Imbalanced),White Box,LR,25,0.7898839999999999,0.768118618461481,0.022
commonsense_qa,Setup A (Balanced),White Box,LR,27,0.8017639999999999,0.7796762357958829,0.062
commonsense_qa,Setup B (Imbalanced),White Box,LR,27,0.788688,0.7626175712254986,0.03
commonsense_qa,Setup A (Balanced),White Box,LR,29,0.7945359999999999,0.7788264248930112,0.12
commonsense_qa,Setup B (Imbalanced),White Box,LR,29,0.783152,0.756447725069044,0.022
commonsense_qa,Setup A (Balanced),White Box,LR,31,0.7854720000000001,0.7712221905442417,0.174
commonsense_qa,Setup B (Imbalanced),White Box,LR,31,0.777252,0.7534839426810159,0.02
commonsense_qa,Setup A (Balanced),White Box,DIM,1,0.503324,0.5103018252025824,0.004
commonsense_qa,Setup B (Imbalanced),White Box,DIM,1,0.5050760000000001,0.5102150870577827,0.002
commonsense_qa,Setup A (Balanced),White Box,DIM,3,0.49718799999999996,0.5048077517908467,0.002
commonsense_qa,Setup B (Imbalanced),White Box,DIM,3,0.5021680000000001,0.5124005379100409,0.0
commonsense_qa,Setup A (Balanced),White Box,DIM,5,0.5133920000000001,0.5206999439911122,0.002
commonsense_qa,Setup B (Imbalanced),White Box,DIM,5,0.524608,0.5318564509238035,0.002
commonsense_qa,Setup A (Balanced),White Box,DIM,7,0.5409999999999999,0.544817486289388,0.002
commonsense_qa,Setup B (Imbalanced),White Box,DIM,7,0.548444,0.5552194271078366,0.0
commonsense_qa,Setup A (Balanced),White Box,DIM,9,0.602752,0.5952948807759426,0.0
commonsense_qa,Setup B (Imbalanced),White Box,DIM,9,0.605152,0.5928949300909276,0.0
commonsense_qa,Setup A (Balanced),White Box,DIM,11,0.695228,0.6889367129896664,0.074
commonsense_qa,Setup B (Imbalanced),White Box,DIM,11,0.695872,0.6870636092080026,0.02
commonsense_qa,Setup A (Balanced),White Box,DIM,13,0.7499119999999999,0.7406810209231295,0.06
commonsense_qa,Setup B (Imbalanced),White Box,DIM,13,0.7512320000000001,0.7404113711266567,0.076
commonsense_qa,Setup A (Balanced),White Box,DIM,15,0.765904,0.7591236273718753,0.092
commonsense_qa,Setup B (Imbalanced),White Box,DIM,15,0.768344,0.7625463902122749,0.098
commonsense_qa,Setup A (Balanced),White Box,DIM,17,0.7913439999999999,0.7827308106468811,0.138
commonsense_qa,Setup B (Imbalanced),White Box,DIM,17,0.790232,0.7818182570379072,0.13
commonsense_qa,Setup A (Balanced),White Box,DIM,19,0.7846,0.7727604120122621,0.116
commonsense_qa,Setup B (Imbalanced),White Box,DIM,19,0.7834840000000001,0.7712978489584869,0.11
commonsense_qa,Setup A (Balanced),White Box,DIM,21,0.7861640000000001,0.7736053236815128,0.132
commonsense_qa,Setup B (Imbalanced),White Box,DIM,21,0.7852160000000001,0.7722587354917029,0.096
commonsense_qa,Setup A (Balanced),White Box,DIM,23,0.784116,0.770581859580687,0.08
commonsense_qa,Setup B (Imbalanced),White Box,DIM,23,0.782828,0.7688966981932421,0.072
commonsense_qa,Setup A (Balanced),White Box,DIM,25,0.786164,0.7719421773758092,0.096
commonsense_qa,Setup B (Imbalanced),White Box,DIM,25,0.784416,0.7698610062270371,0.08
commonsense_qa,Setup A (Balanced),White Box,DIM,27,0.7848759999999999,0.7710297699088386,0.098
commonsense_qa,Setup B (Imbalanced),White Box,DIM,27,0.7833079999999999,0.7691409437408434,0.096
commonsense_qa,Setup A (Balanced),White Box,DIM,29,0.7838319999999999,0.7707438360769265,0.112
commonsense_qa,Setup B (Imbalanced),White Box,DIM,29,0.7818679999999998,0.7690432943603784,0.108
commonsense_qa,Setup A (Balanced),White Box,DIM,31,0.7816719999999999,0.7695799944267471,0.118
commonsense_qa,Setup B (Imbalanced),White Box,DIM,31,0.779788,0.7678703928358059,0.118
commonsense_qa,Setup A (Balanced),White Box,LAT,1,0.501954,0.5052914190645833,0.002
commonsense_qa,Setup B (Imbalanced),White Box,LAT,1,0.5018,0.505439649228075,0.002
commonsense_qa,Setup A (Balanced),White Box,LAT,3,0.501276,0.5063946821999856,0.004
commonsense_qa,Setup B (Imbalanced),White Box,LAT,3,0.500444,0.5045341127085805,0.002
commonsense_qa,Setup A (Balanced),White Box,LAT,5,0.50072,0.5058012956063193,0.006
commonsense_qa,Setup B (Imbalanced),White Box,LAT,5,0.500732,0.5061872528851433,0.006
commonsense_qa,Setup A (Balanced),White Box,LAT,7,0.5025360000000001,0.5070740921704625,0.004
commonsense_qa,Setup B (Imbalanced),White Box,LAT,7,0.5017199999999999,0.5068499154735415,0.004
