Dataset,Condition,Method,Algorithm,Layer,AUC,MAP,BRP_90
commonsense_qa,Setup A (Balanced),Black Box,BB,N/A,0.7560800000000001,0.7258696497499724,0.028
commonsense_qa,Setup B (Imbalanced),Black Box,BB,N/A,0.7489159999999999,0.7165935637881519,0.038
commonsense_qa,Setup A (Balanced),White Box,LR,16,0.83046,0.8111574681540812,0.282
commonsense_qa,Setup B (Imbalanced),White Box,LR,16,0.82774,0.8036574428047067,0.132
commonsense_qa,Setup A (Balanced),White Box,DIM,17,0.7913439999999999,0.7827308106468811,0.138
commonsense_qa,Setup B (Imbalanced),White Box,DIM,21,0.7852160000000001,0.7722587354917029,0.096
commonsense_qa,Setup A (Balanced),White Box,LAT,26,0.717424,0.7067337347866727,0.042
commonsense_qa,Setup B (Imbalanced),White Box,LAT,32,0.732656,0.714910505621706,0.006
commonsense_qa,Setup A (Balanced),White Box,CCS,29,0.803704,0.7959140625410115,0.218
commonsense_qa,Setup B (Imbalanced),White Box,CCS,19,0.7876759999999999,0.7561137492402445,0.002
commonsense_qa,Setup A (Balanced),White Box,LDA,32,0.700212,0.6727342805941164,0.018
commonsense_qa,Setup B (Imbalanced),White Box,LDA,24,0.686032,0.6688717979888879,0.002
commonsense_qa,Setup A (Balanced),White Box,PCA,27,0.743072,0.7288929285656701,0.018
commonsense_qa,Setup B (Imbalanced),White Box,PCA,32,0.7383040000000001,0.7208524215868276,0.008
commonsense_qa,Setup A (Balanced),White Box,PCA-G,17,0.781488,0.7755031597729617,0.128
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,22,0.7739759999999999,0.7627060499099267,0.084
commonsense_qa,Setup A (Balanced),White Box,LR-G,28,0.9341999999999998,0.9326534596963657,0.782
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,16,0.9383319999999999,0.9381049051174097,0.832
arc_challenge,Setup A (Balanced),Black Box,BB,N/A,0.7047012896947461,0.6916816053224925,0.016722408026755852
arc_challenge,Setup B (Imbalanced),Black Box,BB,N/A,0.6931801657699579,0.6771930554660096,0.013377926421404682
arc_challenge,Setup A (Balanced),White Box,LR,17,0.7763224125009788,0.7674749563091945,0.06688963210702341
arc_challenge,Setup B (Imbalanced),White Box,LR,18,0.7493428485139988,0.7390230433175522,0.10367892976588629
arc_challenge,Setup A (Balanced),White Box,DIM,24,0.7061777832462726,0.6964540567027915,0.020066889632107024
arc_challenge,Setup B (Imbalanced),White Box,DIM,22,0.7019831992930728,0.6910274114613191,0.006688963210702341
arc_challenge,Setup A (Balanced),White Box,LAT,31,0.5582711602778492,0.555282638198151,0.030100334448160536
arc_challenge,Setup B (Imbalanced),White Box,LAT,32,0.5568394089551572,0.5537288321568207,0.006688963210702341
arc_challenge,Setup A (Balanced),White Box,CCS,21,0.7475643449178421,0.7343388997139277,0.06354515050167224
arc_challenge,Setup B (Imbalanced),White Box,CCS,24,0.7270388474401853,0.7189589771336393,0.043478260869565216
arc_challenge,Setup A (Balanced),White Box,LDA,20,0.6450263419872261,0.6404576892726125,0.010033444816053512
arc_challenge,Setup B (Imbalanced),White Box,LDA,21,0.6140982763056341,0.6111339091219457,0.020066889632107024
arc_challenge,Setup A (Balanced),White Box,PCA,32,0.5669958949005045,0.5601569490407329,0.0
arc_challenge,Setup B (Imbalanced),White Box,PCA,32,0.5629690943054328,0.5576248034367595,0.0033444816053511705
arc_challenge,Setup A (Balanced),White Box,PCA-G,24,0.6968490285343564,0.6814084237547162,0.010033444816053512
arc_challenge,Setup B (Imbalanced),White Box,PCA-G,24,0.6844666167045113,0.6612041608291188,0.0
arc_challenge,Setup A (Balanced),White Box,LR-G,16,0.9134014160915426,0.9095984852767736,0.7190635451505016
arc_challenge,Setup B (Imbalanced),White Box,LR-G,20,0.8907842194158903,0.8856020750268059,0.6053511705685619
open_book_qa,Setup A (Balanced),Black Box,BB,N/A,0.73058,0.6964922605464279,0.0
open_book_qa,Setup B (Imbalanced),Black Box,BB,N/A,0.7133379999999999,0.6774677215919573,0.0
open_book_qa,Setup A (Balanced),White Box,LR,16,0.777164,0.7558061041314925,0.002
open_book_qa,Setup B (Imbalanced),White Box,LR,18,0.7629319999999999,0.752852420059078,0.024
open_book_qa,Setup A (Balanced),White Box,DIM,21,0.7338359999999999,0.7206011302552666,0.112
open_book_qa,Setup B (Imbalanced),White Box,DIM,23,0.738588,0.7267178104394307,0.136
open_book_qa,Setup A (Balanced),White Box,LAT,22,0.7077,0.6829609193778252,0.01
open_book_qa,Setup B (Imbalanced),White Box,LAT,30,0.7138519999999999,0.6903841150448433,0.054
open_book_qa,Setup A (Balanced),White Box,CCS,17,0.7611000000000001,0.757769818031719,0.202
open_book_qa,Setup B (Imbalanced),White Box,CCS,32,0.690248,0.693795245711251,0.02
open_book_qa,Setup A (Balanced),White Box,LDA,18,0.655536,0.6622869006139286,0.09
open_book_qa,Setup B (Imbalanced),White Box,LDA,31,0.650208,0.6494748020129643,0.008
open_book_qa,Setup A (Balanced),White Box,PCA,30,0.71534,0.6940283153026804,0.042
open_book_qa,Setup B (Imbalanced),White Box,PCA,27,0.7113039999999999,0.6855633234138716,0.016
open_book_qa,Setup A (Balanced),White Box,PCA-G,32,0.7304280000000001,0.721315291207263,0.056
open_book_qa,Setup B (Imbalanced),White Box,PCA-G,27,0.727772,0.7156133997448403,0.074
open_book_qa,Setup A (Balanced),White Box,LR-G,17,0.9320200000000001,0.930877997696222,0.794
open_book_qa,Setup B (Imbalanced),White Box,LR-G,18,0.92272,0.9227961797593665,0.758
race,Setup A (Balanced),Black Box,BB,N/A,0.746946,0.7206421282579267,0.02
race,Setup B (Imbalanced),Black Box,BB,N/A,0.741634,0.719318083141231,0.022
race,Setup A (Balanced),White Box,LR,17,0.800942,0.7892204027200411,0.236
race,Setup B (Imbalanced),White Box,LR,22,0.77117,0.759769225634976,0.184
race,Setup A (Balanced),White Box,DIM,22,0.7638739999999999,0.7499243315060469,0.066
race,Setup B (Imbalanced),White Box,DIM,32,0.756714,0.73494900298208,0.044
race,Setup A (Balanced),White Box,LAT,24,0.551518,0.557710125431088,0.008
race,Setup B (Imbalanced),White Box,LAT,23,0.524478,0.5321034955853607,0.01
race,Setup A (Balanced),White Box,CCS,17,0.8052380000000001,0.7951029454352361,0.156
race,Setup B (Imbalanced),White Box,CCS,28,0.7757299999999999,0.7562452713576198,0.066
race,Setup A (Balanced),White Box,LDA,19,0.695818,0.6795426615676522,0.004
race,Setup B (Imbalanced),White Box,LDA,25,0.66257,0.6515382680717832,0.04
race,Setup A (Balanced),White Box,PCA,24,0.564414,0.570391301456753,0.008
race,Setup B (Imbalanced),White Box,PCA,24,0.53311,0.538773824738138,0.01
race,Setup A (Balanced),White Box,PCA-G,22,0.7659739999999999,0.754759524956115,0.072
race,Setup B (Imbalanced),White Box,PCA-G,30,0.7666579999999998,0.7618165616792929,0.196
race,Setup A (Balanced),White Box,LR-G,21,0.9273819999999999,0.9308414297754617,0.73
race,Setup B (Imbalanced),White Box,LR-G,23,0.921594,0.923755441181568,0.712
arc_easy,Setup A (Balanced),Black Box,BB,N/A,0.859432,0.8566379339633785,0.474
arc_easy,Setup B (Imbalanced),Black Box,BB,N/A,0.851704,0.8617775410935055,0.524
