,,AUC,AUC,Accuracy,Accuracy,Macro F1,Macro F1,Recall (True),Recall (True)
Condition,,Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced)
Dataset,Algorithm,,,,,,,,
ag_news,CCS,0.9422159999999999,0.9583919999999999,0.866,0.892,0.8659978559656955,0.891999567998272,0.91,0.894
ag_news,DIM,0.913176,0.913176,0.84,0.84,0.8396305086920264,0.8396305086920264,0.936,0.936
ag_news,LAT,0.8913159999999999,0.894684,0.821,0.823,0.8206037136033498,0.820627802690583,0.936,0.938
ag_news,LDA,0.9372560000000001,0.9372560000000001,0.874,0.874,0.873995463836698,0.873995463836698,0.898,0.898
ag_news,LR,0.9756079999999999,0.9756079999999999,0.926,0.926,0.925992599259926,0.925992599259926,0.944,0.944
ag_news,LR-G,0.9836440000000001,0.9836440000000001,0.95,0.95,0.95,0.95,0.95,0.95
ag_news,PCA,0.893408,0.893408,0.824,0.824,0.8215147716808846,0.8215147716808846,0.942,0.942
ag_news,PCA-G,0.893176,0.893176,0.821,0.821,0.8206037136033498,0.8206037136033498,0.922,0.922
arc_challenge,CCS,0.7546559881880517,0.7315018847663897,0.68561872909699,0.6923076923076923,0.68561872909699,0.6922216254923022,0.7424749163879598,0.7023411371237458
arc_challenge,DIM,0.7056632476146798,0.7022404671088691,0.6337792642140468,0.6404682274247492,0.6323718893427092,0.6378340464728467,0.7491638795986622,0.725752508361204
arc_challenge,LAT,0.7047012896947461,0.6931801657699579,0.6337792642140468,0.6036789297658863,0.6323718893427092,0.5637092380011267,0.6956521739130435,0.5752508361204013
arc_challenge,LDA,0.7047012896947461,0.6931801657699579,0.6337792642140468,0.6036789297658863,0.6323718893427092,0.5848198788367431,0.6956521739130435,0.5518394648829431
arc_challenge,LR,0.7763224125009788,0.7547678437601368,0.7123745819397993,0.6688963210702341,0.7123456237694648,0.6573006390664073,0.7224080267558528,0.4882943143812709
arc_challenge,LR-G,0.9163879598662208,0.9008847775751949,0.8327759197324415,0.6872909698996655,0.8327759197324415,0.658002501689711,0.8327759197324415,0.39464882943143814
arc_challenge,PCA,0.7047012896947461,0.6931801657699579,0.6337792642140468,0.6036789297658863,0.6323718893427092,0.5637092380011267,0.6956521739130435,0.5752508361204013
arc_challenge,PCA-G,0.7047012896947461,0.6931801657699579,0.6337792642140468,0.6287625418060201,0.6323718893427092,0.6247286295793759,0.7725752508361204,0.7324414715719063
