,,,AUC,AUC,Accuracy,Accuracy,Macro F1,Macro F1,Recall (True),Recall (True)
Condition,,,Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced)
Dataset,Method,Algorithm,,,,,,,,
ag_news,Black Box (Logprobs),CCS,0.8867834666666667,0.8867834666666667,0.8196,0.8196,0.8191885252576548,0.8191885252576548,0.8664000000000001,0.8664000000000001
ag_news,Black Box (Logprobs),DIM,0.8867834666666667,0.8867834666666667,0.8196,0.8196,0.8191885252576548,0.8191885252576548,0.8664000000000001,0.8664000000000001
ag_news,Black Box (Logprobs),LAT,0.8867834666666667,0.8867834666666667,0.8196,0.8196,0.8191885252576548,0.8191885252576548,0.8664000000000001,0.8664000000000001
ag_news,Black Box (Logprobs),LDA,0.8867834666666667,0.8867834666666667,0.8196,0.8196,0.8191885252576548,0.8191885252576548,0.8664000000000001,0.8664000000000001
ag_news,Black Box (Logprobs),LR,0.8867834666666667,0.8867834666666667,0.8196,0.8196,0.8191885252576548,0.8191885252576548,0.8664000000000001,0.8664000000000001
ag_news,Black Box (Logprobs),LR-G,0.8867834666666667,0.8867834666666667,0.8196,0.8196,0.8191885252576548,0.8191885252576548,0.8664000000000001,0.8664000000000001
ag_news,Black Box (Logprobs),PCA,0.8867834666666667,0.8867834666666667,0.8196,0.8196,0.8191885252576548,0.8191885252576548,0.8664000000000001,0.8664000000000001
ag_news,Black Box (Logprobs),PCA-G,0.8867834666666667,0.8867834666666667,0.8196,0.8196,0.8191885252576548,0.8191885252576548,0.8664000000000001,0.8664000000000001
ag_news,White Box (Probes),CCS,0.6619199166666667,0.65724145,0.6019541666666667,0.5989583333333334,0.5994277101362834,0.596376089565904,0.6041833333333333,0.6039916666666667
ag_news,White Box (Probes),DIM,0.7974317833333333,0.7974317833333333,0.7287541666666667,0.7287541666666667,0.7265939449124333,0.7265939449124333,0.7560749999999999,0.7560749999999999
ag_news,White Box (Probes),LAT,0.6834539333333333,0.6891337666666666,0.6423666666666666,0.6478708333333334,0.6388206066456666,0.6443423472615987,0.6693,0.674675
ag_news,White Box (Probes),LDA,0.8822684,0.8822684,0.8133166666666667,0.8133166666666667,0.8132371153678277,0.8132371153678277,0.8189166666666666,0.8189166666666666
ag_news,White Box (Probes),LR,0.8971924666666666,0.8971924666666666,0.8459583333333334,0.8459583333333334,0.8354387387327346,0.8354387387327346,0.8265833333333333,0.8265833333333333
ag_news,White Box (Probes),LR-G,0.9144307,0.9144307,0.8723458333333334,0.8723458333333334,0.8619122907149745,0.8619122907149745,0.8405083333333334,0.8405083333333334
