Dataset,Algorithm,Setup A (Balanced) AUC,Setup B (Imbalanced) AUC,Difference (A - B)
commonsense_qa,BB,0.7560800000000001,0.7489159999999999,0.00716400000000017
commonsense_qa,LR,0.82874,0.8279719999999999,0.0007680000000001019
commonsense_qa,DIM,0.7913439999999999,0.790232,0.0011119999999998909
commonsense_qa,LAT,0.7476480000000001,0.737852,0.009796000000000138
commonsense_qa,CCS,0.811212,0.805896,0.005316000000000098
commonsense_qa,LDA,0.73068,0.705856,0.024823999999999957
commonsense_qa,PCA,0.74538,0.7422359999999999,0.0031440000000001467
commonsense_qa,PCA-G,0.781488,0.7711520000000001,0.0103359999999999
commonsense_qa,LR-G,0.944752,0.9380999999999999,0.006652000000000102
arc_challenge,BB,0.7047012896947461,0.6931801657699579,0.011521123924788212
arc_challenge,LR,0.7763224125009788,0.7547678437601368,0.02155456874084194
arc_challenge,DIM,0.7056632476146798,0.7022404671088691,0.0034227805058106853
arc_challenge,LAT,0.5723537768033915,0.5474099842283644,0.0249437925750271
arc_challenge,CCS,0.7486269728526527,0.7344325007550252,0.014194472097627475
arc_challenge,LDA,0.6581246294784174,0.6178230668560754,0.04030156262234208
arc_challenge,PCA,0.5613695596246127,0.5556201832194272,0.005749376405185469
arc_challenge,PCA-G,0.6958758850572141,0.6823972886209326,0.013478596436281465
arc_challenge,LR-G,0.9163879598662208,0.9008847775751949,0.015503182291025874
open_book_qa,BB,0.73058,0.7133379999999999,0.01724200000000009
open_book_qa,LR,0.7824720000000001,0.7719799999999999,0.010492000000000168
open_book_qa,DIM,0.7375520000000001,0.740724,-0.0031719999999999526
open_book_qa,LAT,0.714784,0.7141439999999999,0.0006400000000000849
open_book_qa,CCS,0.7644,0.7585560000000001,0.005843999999999849
open_book_qa,LDA,0.6752,0.685568,-0.010367999999999933
open_book_qa,PCA,0.7147159999999999,0.711908,0.0028079999999999217
open_book_qa,PCA-G,0.7328359999999999,0.7294959999999999,0.0033400000000000096
open_book_qa,LR-G,0.9320200000000001,0.9302400000000001,0.0017800000000000038
race,BB,0.746946,0.741634,0.005311999999999983
race,LR,0.800942,0.782694,0.018248000000000042
race,DIM,0.761978,0.761118,0.0008600000000000829
race,LAT,0.566334,0.5325939999999999,0.0337400000000001
race,CCS,0.7950539999999999,0.791426,0.0036279999999999646
race,LDA,0.69829,0.6632859999999999,0.035004000000000035
race,PCA,0.560886,0.530474,0.030411999999999995
race,PCA-G,0.7644419999999998,0.767562,-0.0031200000000001227
race,LR-G,0.931918,0.9263620000000001,0.005555999999999894
arc_easy,BB,0.859432,0.851704,0.007727999999999957
arc_easy,LR,0.899516,0.89174,0.007776000000000005
arc_easy,DIM,0.8480839999999998,0.8480679999999999,1.599999999990498e-05
arc_easy,LAT,0.5882679999999999,0.6601279999999999,-0.07186000000000003
arc_easy,CCS,0.884356,0.8770959999999999,0.007260000000000155
arc_easy,LDA,0.7868599999999999,0.748576,0.038283999999999874
arc_easy,PCA,0.587336,0.645432,-0.058096000000000037
arc_easy,PCA-G,0.83306,0.817832,0.01522800000000002
arc_easy,LR-G,0.97992,0.979692,0.00022800000000000598
ag_news,BB,0.887196,0.887196,0.0
ag_news,LR,0.9756079999999999,0.9756079999999999,0.0
ag_news,DIM,0.913176,0.913176,0.0
ag_news,LAT,0.891056,0.8964920000000001,-0.005436000000000107
ag_news,CCS,0.91736,0.9619759999999999,-0.04461599999999999
ag_news,LDA,0.9372560000000001,0.9372560000000001,0.0
ag_news,PCA,0.893408,0.893408,0.0
ag_news,PCA-G,0.893176,0.893176,0.0
ag_news,LR-G,0.9836440000000001,0.9836440000000001,0.0
dbpedia_14,BB,0.9770737098648227,0.9770737098648227,0.0
dbpedia_14,LR,0.9998785469355368,0.9998785469355368,0.0
dbpedia_14,DIM,0.9911946528264153,0.9911946528264153,0.0
dbpedia_14,LAT,0.9652563266925496,0.966134837192167,-0.000878510499617402
dbpedia_14,CCS,0.9993158144035237,0.9987287912586181,0.0005870231449055519
dbpedia_14,LDA,0.9999473703387326,0.9999473703387326,0.0
dbpedia_14,PCA,0.9626126983227331,0.9626126983227331,0.0
dbpedia_14,PCA-G,0.9876279811666782,0.9876279811666782,0.0
dbpedia_14,LR-G,1.0,1.0,0.0
