Dataset,Algorithm,Setup A (Balanced) BRP_90,Setup B (Imbalanced) BRP_90,Difference (A - B)
commonsense_qa,BB,0.028,0.038,-0.009999999999999998
commonsense_qa,LR,0.276,0.182,0.09400000000000003
commonsense_qa,DIM,0.138,0.13,0.008000000000000007
commonsense_qa,LAT,0.042,0.04,0.0020000000000000018
commonsense_qa,CCS,0.182,0.144,0.038000000000000006
commonsense_qa,LDA,0.068,0.016,0.052000000000000005
commonsense_qa,PCA,0.024,0.038,-0.013999999999999999
commonsense_qa,PCA-G,0.128,0.106,0.022000000000000006
commonsense_qa,LR-G,0.87,0.844,0.026000000000000023
arc_challenge,BB,0.016722408026755852,0.013377926421404682,0.00334448160535117
arc_challenge,LR,0.15384615384615385,0.10702341137123746,0.0468227424749164
arc_challenge,DIM,0.07023411371237458,0.04013377926421405,0.03010033444816053
arc_challenge,LAT,0.0033444816053511705,0.006688963210702341,-0.0033444816053511705
arc_challenge,CCS,0.11371237458193979,0.13043478260869565,-0.016722408026755856
arc_challenge,LDA,0.033444816053511704,0.04013377926421405,-0.006688963210702344
arc_challenge,PCA,0.0033444816053511705,0.0033444816053511705,0.0
arc_challenge,PCA-G,0.03678929765886288,0.04013377926421405,-0.0033444816053511683
arc_challenge,LR-G,0.7190635451505016,0.6321070234113713,0.08695652173913038
open_book_qa,BB,0.0,0.0,0.0
open_book_qa,LR,0.168,0.162,0.006000000000000005
open_book_qa,DIM,0.146,0.136,0.009999999999999981
open_book_qa,LAT,0.068,0.062,0.006000000000000005
open_book_qa,CCS,0.144,0.13,0.013999999999999985
open_book_qa,LDA,0.064,0.09,-0.025999999999999995
open_book_qa,PCA,0.074,0.056,0.017999999999999995
open_book_qa,PCA-G,0.102,0.112,-0.010000000000000009
open_book_qa,LR-G,0.794,0.784,0.010000000000000009
race,BB,0.02,0.022,-0.0019999999999999983
race,LR,0.236,0.184,0.05199999999999999
race,DIM,0.064,0.058,0.005999999999999998
race,LAT,0.014,0.014,0.0
race,CCS,0.212,0.202,0.009999999999999981
race,LDA,0.01,0.074,-0.064
race,PCA,0.014,0.014,0.0
race,PCA-G,0.082,0.208,-0.126
race,LR-G,0.776,0.74,0.03600000000000003
arc_easy,BB,0.474,0.524,-0.050000000000000044
arc_easy,LR,0.672,0.648,0.02400000000000002
arc_easy,DIM,0.434,0.434,0.0
arc_easy,LAT,0.018,0.018,0.0
arc_easy,CCS,0.596,0.548,0.04799999999999993
arc_easy,LDA,0.152,0.11,0.041999999999999996
arc_easy,PCA,0.014,0.018,-0.003999999999999998
arc_easy,PCA-G,0.278,0.15,0.12800000000000003
arc_easy,LR-G,0.95,0.942,0.008000000000000007
ag_news,BB,0.36,0.36,0.0
ag_news,LR,0.96,0.96,0.0
ag_news,DIM,0.558,0.558,0.0
ag_news,LAT,0.44,0.506,-0.066
ag_news,CCS,0.546,0.896,-0.35
ag_news,LDA,0.846,0.846,0.0
ag_news,PCA,0.506,0.506,0.0
ag_news,PCA-G,0.5,0.5,0.0
ag_news,LR-G,0.972,0.972,0.0
dbpedia_14,BB,0.9456740442655935,0.9456740442655935,0.0
dbpedia_14,LR,1.0,1.0,0.0
dbpedia_14,DIM,0.9798792756539235,0.9798792756539235,0.0
dbpedia_14,LAT,0.9094567404426559,0.9114688128772636,-0.002012072434607659
dbpedia_14,CCS,1.0,1.0,0.0
dbpedia_14,LDA,1.0,1.0,0.0
dbpedia_14,PCA,0.89738430583501,0.89738430583501,0.0
dbpedia_14,PCA-G,0.9637826961770624,0.9637826961770624,0.0
dbpedia_14,LR-G,1.0,1.0,0.0
