Dataset,Algorithm,Setup A (Balanced) BRP_90,Setup B (Imbalanced) BRP_90,Difference (A - B)
commonsense_qa,BB,0.028,0.038,-0.009999999999999998
commonsense_qa,LR,0.282,0.132,0.14999999999999997
commonsense_qa,DIM,0.138,0.096,0.04200000000000001
commonsense_qa,LAT,0.042,0.006,0.036000000000000004
commonsense_qa,CCS,0.218,0.002,0.216
commonsense_qa,LDA,0.018,0.002,0.016
commonsense_qa,PCA,0.018,0.008,0.009999999999999998
commonsense_qa,PCA-G,0.128,0.084,0.044
commonsense_qa,LR-G,0.782,0.832,-0.04999999999999993
arc_challenge,BB,0.016722408026755852,0.013377926421404682,0.00334448160535117
arc_challenge,LR,0.06688963210702341,0.10367892976588629,-0.03678929765886288
arc_challenge,DIM,0.020066889632107024,0.006688963210702341,0.013377926421404684
arc_challenge,LAT,0.030100334448160536,0.006688963210702341,0.023411371237458196
arc_challenge,CCS,0.06354515050167224,0.043478260869565216,0.020066889632107024
arc_challenge,LDA,0.010033444816053512,0.020066889632107024,-0.010033444816053512
arc_challenge,PCA,0.0,0.0033444816053511705,-0.0033444816053511705
arc_challenge,PCA-G,0.010033444816053512,0.0,0.010033444816053512
arc_challenge,LR-G,0.7190635451505016,0.6053511705685619,0.11371237458193972
open_book_qa,BB,0.0,0.0,0.0
open_book_qa,LR,0.002,0.024,-0.022
open_book_qa,DIM,0.112,0.136,-0.024000000000000007
open_book_qa,LAT,0.01,0.054,-0.044
open_book_qa,CCS,0.202,0.02,0.18200000000000002
open_book_qa,LDA,0.09,0.008,0.08199999999999999
open_book_qa,PCA,0.042,0.016,0.026000000000000002
open_book_qa,PCA-G,0.056,0.074,-0.017999999999999995
open_book_qa,LR-G,0.794,0.758,0.03600000000000003
race,BB,0.02,0.022,-0.0019999999999999983
race,LR,0.236,0.184,0.05199999999999999
race,DIM,0.066,0.044,0.022000000000000006
race,LAT,0.008,0.01,-0.002
race,CCS,0.156,0.066,0.09
race,LDA,0.004,0.04,-0.036000000000000004
race,PCA,0.008,0.01,-0.002
race,PCA-G,0.072,0.196,-0.12400000000000001
race,LR-G,0.73,0.712,0.018000000000000016
arc_easy,BB,0.474,0.524,-0.050000000000000044
arc_easy,LR,0.644,0.648,-0.0040000000000000036
arc_easy,DIM,0.434,0.428,0.006000000000000005
arc_easy,LAT,0.012,0.004,0.008
arc_easy,CCS,0.602,0.494,0.10799999999999998
arc_easy,LDA,0.0,0.04,-0.04
arc_easy,PCA,0.012,0.006,0.006
arc_easy,PCA-G,0.29,0.138,0.15199999999999997
arc_easy,LR-G,0.94,0.946,-0.006000000000000005
ag_news,BB,0.36,0.36,0.0
ag_news,LR,0.956,0.956,0.0
ag_news,DIM,0.51,0.51,0.0
ag_news,LAT,0.406,0.354,0.052000000000000046
ag_news,CCS,0.902,0.734,0.16800000000000004
ag_news,LDA,0.832,0.832,0.0
ag_news,PCA,0.506,0.506,0.0
ag_news,PCA-G,0.486,0.486,0.0
ag_news,LR-G,0.964,0.964,0.0
dbpedia_14,BB,0.9456740442655935,0.9456740442655935,0.0
dbpedia_14,LR,1.0,1.0,0.0
dbpedia_14,DIM,0.9557344064386318,0.9557344064386318,0.0
dbpedia_14,LAT,0.8913480885311871,0.8832997987927566,0.008048289738430525
dbpedia_14,CCS,1.0,1.0,0.0
dbpedia_14,LDA,0.9979879275653923,0.9979879275653923,0.0
dbpedia_14,PCA,0.9014084507042254,0.9014084507042254,0.0
dbpedia_14,PCA-G,0.9537223340040242,0.9537223340040242,0.0
dbpedia_14,LR-G,1.0,1.0,0.0
