Dataset,Method,Layer,Metric,Mean A,Mean B,W-Statistic,P-Value,Significant (p<0.05)
commonsense_qa,BB,N/A,AUC,0.7595237333333333,0.7528666666666666,15.0,7.686603674178177e-06,True
commonsense_qa,BB,N/A,Macro F1,0.7022812631186508,0.5394880359610207,0.0,1.862645149230957e-09,True
commonsense_qa,LR,1,AUC,0.5025130666666666,0.5070026666666666,70.0,0.00046010687947273254,True
commonsense_qa,LR,1,Macro F1,0.4834202723733076,0.3333333333333334,0.0,1.862645149230957e-09,True
commonsense_qa,LR,3,AUC,0.5006240000000001,0.5048058666666667,156.0,0.11907656863331795,False
commonsense_qa,LR,3,Macro F1,0.4954835713564764,0.3333333333333334,0.0,1.7311263949197288e-06,True
commonsense_qa,LR,5,AUC,0.5262506666666666,0.5274437333333333,210.5,0.6508977072835631,False
commonsense_qa,LR,5,Macro F1,0.5210800540074111,0.3333333333333334,0.0,1.732216233144114e-06,True
commonsense_qa,LR,7,AUC,0.6036933333333334,0.5891157333333334,19.0,5.718320608139038e-07,True
commonsense_qa,LR,7,Macro F1,0.5825765721876696,0.3333333333333334,0.0,1.7311263949197288e-06,True
commonsense_qa,LR,9,AUC,0.6879456,0.6799141333333332,56.0,0.00011058151721954346,True
commonsense_qa,LR,9,Macro F1,0.648219045166049,0.3513587774229739,0.0,1.862645149230957e-09,True
commonsense_qa,LR,11,AUC,0.7659589333333333,0.7581306666666666,60.0,0.00016989745199680328,True
commonsense_qa,LR,11,Macro F1,0.7006960665471468,0.49718334463403635,0.0,1.862645149230957e-09,True
commonsense_qa,LR,13,AUC,0.8137727999999999,0.8062506666666667,19.0,5.718320608139038e-07,True
commonsense_qa,LR,13,Macro F1,0.738351102268395,0.6392814821518704,0.0,1.862645149230957e-09,True
commonsense_qa,LR,15,AUC,0.8279157333333333,0.8212581333333334,18.0,4.7124922275543213e-07,True
commonsense_qa,LR,15,Macro F1,0.7548149752901722,0.6770182620089518,0.0,1.862645149230957e-09,True
commonsense_qa,LR,17,AUC,0.8313503999999998,0.8305642666666666,204.0,0.5698575973510742,False
commonsense_qa,LR,17,Macro F1,0.765892101145356,0.6910817726420844,0.0,1.862645149230957e-09,True
commonsense_qa,LR,19,AUC,0.8249877333333331,0.8224768000000001,153.0,0.10483990423381329,False
commonsense_qa,LR,19,Macro F1,0.7571360605563302,0.6925743041138327,0.0,1.862645149230957e-09,True
commonsense_qa,LR,21,AUC,0.8180357333333335,0.8142303999999999,97.0,0.004338232800364494,True
commonsense_qa,LR,21,Macro F1,0.737305412776455,0.6916880866795778,0.0,1.862645149230957e-09,True
commonsense_qa,LR,23,AUC,0.8182410666666666,0.8021493333333333,0.0,1.862645149230957e-09,True
commonsense_qa,LR,23,Macro F1,0.7460788293917119,0.6833430774906819,0.0,1.862645149230957e-09,True
commonsense_qa,LR,25,AUC,0.8026346666666665,0.7912714666666666,6.0,2.60770320892334e-08,True
commonsense_qa,LR,25,Macro F1,0.7369384539700693,0.6760708964303876,0.0,1.862645149230957e-09,True
commonsense_qa,LR,27,AUC,0.8043136,0.7894757333333331,4.0,1.30385160446167e-08,True
