Dataset,Method,Algorithm,Training Size,Layer,AUC,MAP,BRP_90
commonsense_qa,Black Box,BB,100,N/A,0.6735439999999999,0.6522662236933586,0.008
commonsense_qa,White Box,LR,100,1,0.49256,0.5000197287841597,0.0
commonsense_qa,White Box,LR,100,3,0.49395400000000006,0.5053846965200446,0.006
commonsense_qa,White Box,LR,100,5,0.49911799999999995,0.5078367671878279,0.0
commonsense_qa,White Box,LR,100,7,0.5258079999999999,0.5304487380149676,0.004
commonsense_qa,White Box,LR,100,9,0.609462,0.5875498572196612,0.0
commonsense_qa,White Box,LR,100,11,0.687736,0.6495955861386883,0.008
commonsense_qa,White Box,LR,100,13,0.7378020000000001,0.6989436362572508,0.042
commonsense_qa,White Box,LR,100,15,0.755564,0.7196281798939381,0.018
commonsense_qa,White Box,LR,100,17,0.765004,0.7324609237297243,0.022
commonsense_qa,White Box,LR,100,19,0.757558,0.7219870263816164,0.018
commonsense_qa,White Box,LR,100,21,0.7487579999999999,0.7075592457921192,0.018
commonsense_qa,White Box,LR,100,23,0.74617,0.7102949255903691,0.018
commonsense_qa,White Box,LR,100,25,0.747926,0.7138320677453808,0.06
commonsense_qa,White Box,LR,100,27,0.743122,0.7012148892204371,0.026
commonsense_qa,White Box,LR,100,29,0.743042,0.7010968843194039,0.032
commonsense_qa,White Box,LR,100,31,0.742582,0.7023459287919078,0.018
commonsense_qa,White Box,DIM,100,1,0.49409800000000004,0.5038690984108165,0.0
commonsense_qa,White Box,DIM,100,3,0.493898,0.5050139746155446,0.006
commonsense_qa,White Box,DIM,100,5,0.49801399999999996,0.5117092568135528,0.006
commonsense_qa,White Box,DIM,100,7,0.508272,0.51283604481009,0.0
commonsense_qa,White Box,DIM,100,9,0.546774,0.5475357328479189,0.0
commonsense_qa,White Box,DIM,100,11,0.652998,0.6278640469548687,0.006
commonsense_qa,White Box,DIM,100,13,0.719508,0.6912892628546548,0.036
commonsense_qa,White Box,DIM,100,15,0.747838,0.7248374063972625,0.068
commonsense_qa,White Box,DIM,100,17,0.7705979999999999,0.7592347756023884,0.096
commonsense_qa,White Box,DIM,100,19,0.7644820000000001,0.7470505884089179,0.078
commonsense_qa,White Box,DIM,100,21,0.766356,0.7514115063462973,0.132
commonsense_qa,White Box,DIM,100,23,0.763102,0.749968678287863,0.116
commonsense_qa,White Box,DIM,100,25,0.763372,0.748766972617039,0.116
commonsense_qa,White Box,DIM,100,27,0.764226,0.7494158738922903,0.1
commonsense_qa,White Box,DIM,100,29,0.76478,0.7520134744133061,0.096
commonsense_qa,White Box,DIM,100,31,0.7640360000000002,0.7521244815496944,0.098
commonsense_qa,White Box,LAT,100,1,0.505168,0.5055827885302038,0.002
commonsense_qa,White Box,LAT,100,3,0.5026660000000001,0.5057201143596846,0.0
commonsense_qa,White Box,LAT,100,5,0.5000339999999999,0.5061020191587207,0.004
commonsense_qa,White Box,LAT,100,7,0.495552,0.4984053460075724,0.0
commonsense_qa,White Box,LAT,100,9,0.495622,0.4986201539584022,0.0
commonsense_qa,White Box,LAT,100,11,0.487376,0.48609594221617264,0.0
commonsense_qa,White Box,LAT,100,13,0.500818,0.5015638785102376,0.0
commonsense_qa,White Box,LAT,100,15,0.53531,0.5423246325431181,0.0
commonsense_qa,White Box,LAT,100,17,0.512834,0.5081518661656272,0.0
commonsense_qa,White Box,LAT,100,19,0.708812,0.6738628100127845,0.018
commonsense_qa,White Box,LAT,100,21,0.5532779999999999,0.55577484419904,0.002
commonsense_qa,White Box,LAT,100,23,0.6682139999999999,0.6571222973801549,0.004
commonsense_qa,White Box,LAT,100,25,0.6877599999999999,0.669587231546193,0.004
commonsense_qa,White Box,LAT,100,27,0.745938,0.7314698703075604,0.02
commonsense_qa,White Box,LAT,100,29,0.707076,0.6744127149597505,0.004
commonsense_qa,White Box,LAT,100,31,0.704488,0.6699613554867168,0.012
commonsense_qa,White Box,CCS,100,1,0.5062500000000001,0.511362879757546,0.0
commonsense_qa,White Box,CCS,100,3,0.492142,0.49943642017322476,0.002
commonsense_qa,White Box,CCS,100,5,0.5137039999999999,0.5170895145704074,0.002
commonsense_qa,White Box,CCS,100,7,0.517236,0.5160545673929292,0.0
commonsense_qa,White Box,CCS,100,9,0.486336,0.4832879323600551,0.002
commonsense_qa,White Box,CCS,100,11,0.641552,0.615225581136913,0.008
commonsense_qa,White Box,CCS,100,13,0.7414799999999999,0.7085545738497053,0.048
commonsense_qa,White Box,CCS,100,15,0.74468,0.7064546045231186,0.018
commonsense_qa,White Box,CCS,100,17,0.7632399999999999,0.7295541602834178,0.06
commonsense_qa,White Box,CCS,100,19,0.766644,0.7433924255217035,0.012
commonsense_qa,White Box,CCS,100,21,0.743092,0.7079513602414691,0.0
commonsense_qa,White Box,CCS,100,23,0.7255360000000001,0.7044720318729152,0.0
commonsense_qa,White Box,CCS,100,25,0.7488079999999999,0.7211662167018266,0.076
commonsense_qa,White Box,CCS,100,27,0.734856,0.7014631117896081,0.008
commonsense_qa,White Box,CCS,100,29,0.755036,0.7332244911318531,0.03
commonsense_qa,White Box,CCS,100,31,0.740352,0.7009208756451497,0.004
commonsense_qa,White Box,LDA,100,1,0.496382,0.49525732845333703,0.006
commonsense_qa,White Box,LDA,100,3,0.502714,0.4962254991635517,0.0
commonsense_qa,White Box,LDA,100,5,0.5095540000000001,0.5011006176596544,0.0
commonsense_qa,White Box,LDA,100,7,0.52963,0.5257559418527809,0.008
commonsense_qa,White Box,LDA,100,9,0.595742,0.5724341519004902,0.0
commonsense_qa,White Box,LDA,100,11,0.64019,0.6113637963805509,0.0
commonsense_qa,White Box,LDA,100,13,0.68501,0.6523622983707159,0.018
commonsense_qa,White Box,LDA,100,15,0.721714,0.6896981369644402,0.036
commonsense_qa,White Box,LDA,100,17,0.741256,0.7167169638929456,0.058
commonsense_qa,White Box,LDA,100,19,0.736184,0.7061569100015005,0.012
commonsense_qa,White Box,LDA,100,21,0.721878,0.6889426700421197,0.026
commonsense_qa,White Box,LDA,100,23,0.721788,0.6910170196826726,0.036
commonsense_qa,White Box,LDA,100,25,0.7358720000000001,0.7079092018675693,0.03
commonsense_qa,White Box,LDA,100,27,0.7263160000000001,0.6945087398193075,0.006
commonsense_qa,White Box,LDA,100,29,0.7293320000000001,0.6987169252900512,0.024
commonsense_qa,White Box,LDA,100,31,0.7213219999999999,0.6823692596555092,0.0
commonsense_qa,White Box,PCA,100,1,0.505042,0.5057207773242061,0.002
commonsense_qa,White Box,PCA,100,3,0.502424,0.5073740364206705,0.002
commonsense_qa,White Box,PCA,100,5,0.49969800000000003,0.5069170448971978,0.004
commonsense_qa,White Box,PCA,100,7,0.49259200000000003,0.4967103313089334,0.0
commonsense_qa,White Box,PCA,100,9,0.49940399999999996,0.5048404402511955,0.0
commonsense_qa,White Box,PCA,100,11,0.50204,0.5025295109904455,0.0
commonsense_qa,White Box,PCA,100,13,0.506354,0.5086693010281573,0.0
commonsense_qa,White Box,PCA,100,15,0.515438,0.5186405598284487,0.0
commonsense_qa,White Box,PCA,100,17,0.499486,0.49875730405254903,0.0
commonsense_qa,White Box,PCA,100,19,0.563788,0.5674119828643658,0.004
commonsense_qa,White Box,PCA,100,21,0.587134,0.5875098591142817,0.002
commonsense_qa,White Box,PCA,100,23,0.705096,0.6907105146395569,0.01
commonsense_qa,White Box,PCA,100,25,0.679068,0.66372792116841,0.004
commonsense_qa,White Box,PCA,100,27,0.75048,0.7340540309270032,0.014
commonsense_qa,White Box,PCA,100,29,0.746006,0.7297864465103999,0.022
commonsense_qa,White Box,PCA,100,31,0.7470319999999999,0.7350604822865539,0.022
commonsense_qa,White Box,PCA-G,100,1,0.500972,0.5148949830370554,0.006
commonsense_qa,White Box,PCA-G,100,3,0.48796,0.49426914713878073,0.0
commonsense_qa,White Box,PCA-G,100,5,0.49019199999999996,0.5051322344909545,0.004
commonsense_qa,White Box,PCA-G,100,7,0.489552,0.49910518382846686,0.0
commonsense_qa,White Box,PCA-G,100,9,0.4894879999999999,0.5022907738641893,0.002
commonsense_qa,White Box,PCA-G,100,11,0.614474,0.5920089560463399,0.0
commonsense_qa,White Box,PCA-G,100,13,0.6932159999999999,0.6609047935796082,0.002
commonsense_qa,White Box,PCA-G,100,15,0.7239220000000001,0.6970253101034517,0.036
commonsense_qa,White Box,PCA-G,100,17,0.7571019999999999,0.7384753718744563,0.038
commonsense_qa,White Box,PCA-G,100,19,0.7524799999999999,0.7299767130524923,0.012
commonsense_qa,White Box,PCA-G,100,21,0.757556,0.7386751654384407,0.056
commonsense_qa,White Box,PCA-G,100,23,0.755102,0.7392813399417778,0.074
commonsense_qa,White Box,PCA-G,100,25,0.7530859999999999,0.7322202692366434,0.046
commonsense_qa,White Box,PCA-G,100,27,0.754744,0.7364606003294003,0.036
commonsense_qa,White Box,PCA-G,100,29,0.754352,0.736751287528771,0.014
commonsense_qa,White Box,PCA-G,100,31,0.7548,0.7392686683038728,0.022
commonsense_qa,White Box,LR-G,100,1,0.45058000000000004,0.48337461395615144,0.004
commonsense_qa,White Box,LR-G,100,3,0.48232,0.49788761522759467,0.002
commonsense_qa,White Box,LR-G,100,5,0.4927480000000001,0.5029537222886885,0.0
commonsense_qa,White Box,LR-G,100,7,0.531112,0.5275235536848161,0.0
commonsense_qa,White Box,LR-G,100,9,0.682652,0.6716288072823655,0.008
commonsense_qa,White Box,LR-G,100,11,0.817976,0.8219358687949317,0.404
commonsense_qa,White Box,LR-G,100,13,0.877564,0.88079568558364,0.53
commonsense_qa,White Box,LR-G,100,15,0.894532,0.8969090325876944,0.58
commonsense_qa,White Box,LR-G,100,17,0.9038360000000001,0.9047314719395549,0.656
commonsense_qa,White Box,LR-G,100,19,0.898288,0.8994227519514566,0.64
commonsense_qa,White Box,LR-G,100,21,0.8967879999999999,0.8980106081312922,0.624
commonsense_qa,White Box,LR-G,100,23,0.896156,0.8973524470558935,0.598
commonsense_qa,White Box,LR-G,100,25,0.8945,0.8952109055297743,0.608
commonsense_qa,White Box,LR-G,100,27,0.891676,0.8918252127422976,0.616
commonsense_qa,White Box,LR-G,100,29,0.8935200000000001,0.8936751997863939,0.636
commonsense_qa,White Box,LR-G,100,31,0.8949320000000001,0.8954017732255763,0.596
commonsense_qa,Black Box,BB,200,N/A,0.6767439999999999,0.6466478883531539,0.0
commonsense_qa,White Box,LR,200,1,0.49514199999999997,0.5036262515222625,0.0
commonsense_qa,White Box,LR,200,3,0.491206,0.5071579108937092,0.0
commonsense_qa,White Box,LR,200,5,0.505956,0.5173490531381375,0.008
commonsense_qa,White Box,LR,200,7,0.550872,0.5568295758186993,0.012
commonsense_qa,White Box,LR,200,9,0.6311300000000001,0.6076208015333904,0.0
commonsense_qa,White Box,LR,200,11,0.708326,0.6769401609918072,0.04
commonsense_qa,White Box,LR,200,13,0.7496919999999999,0.714725471886676,0.058
commonsense_qa,White Box,LR,200,15,0.7576419999999999,0.7246274258485036,0.046
commonsense_qa,White Box,LR,200,17,0.7663420000000001,0.741633046754918,0.056
commonsense_qa,White Box,LR,200,19,0.7529460000000001,0.7255700448848488,0.038
commonsense_qa,White Box,LR,200,21,0.7465579999999998,0.7112312616019222,0.03
commonsense_qa,White Box,LR,200,23,0.7479499999999999,0.7117577948008134,0.01
commonsense_qa,White Box,LR,200,25,0.748006,0.7094076158215521,0.018
commonsense_qa,White Box,LR,200,27,0.75177,0.7148804537876405,0.036
commonsense_qa,White Box,LR,200,29,0.747726,0.7070246985931251,0.02
commonsense_qa,White Box,LR,200,31,0.7422620000000001,0.7033141097379525,0.026
commonsense_qa,White Box,DIM,200,1,0.49687600000000004,0.5083954319028379,0.0
commonsense_qa,White Box,DIM,200,3,0.491084,0.5069309042743967,0.0
commonsense_qa,White Box,DIM,200,5,0.50433,0.5180452203814767,0.01
commonsense_qa,White Box,DIM,200,7,0.52716,0.5317258519370154,0.002
commonsense_qa,White Box,DIM,200,9,0.56319,0.5619003254962779,0.004
commonsense_qa,White Box,DIM,200,11,0.6658759999999999,0.6414007614125914,0.012
commonsense_qa,White Box,DIM,200,13,0.7258979999999999,0.6984198023531877,0.038
commonsense_qa,White Box,DIM,200,15,0.751598,0.7307280407462837,0.088
commonsense_qa,White Box,DIM,200,17,0.772214,0.7649378449943098,0.152
commonsense_qa,White Box,DIM,200,19,0.7670060000000001,0.7545365299078693,0.162
commonsense_qa,White Box,DIM,200,21,0.768938,0.7577981038917653,0.132
