Dataset,Method,Algorithm,Training Size,Actual Size Trained,Layer,AUC,MAP,BRP_90
commonsense_qa,Black Box,BB,100,100,N/A,0.6735439999999999,0.6522662236933586,0.008
commonsense_qa,White Box,LR,100,100,19,0.757558,0.7219870263816164,0.018
commonsense_qa,White Box,DIM,100,100,30,0.7652680000000001,0.7521282501526919,0.104
commonsense_qa,White Box,LAT,100,100,30,0.704752,0.6955164088829764,0.01
commonsense_qa,White Box,CCS,100,100,28,0.6766319999999999,0.6572556391426443,0.004
commonsense_qa,White Box,LDA,100,100,18,0.736566,0.7032369995275998,0.022
commonsense_qa,White Box,PCA,100,100,31,0.7470319999999999,0.7350604822865539,0.022
commonsense_qa,White Box,PCA-G,100,100,23,0.7551000000000001,0.7392771694495665,0.074
commonsense_qa,White Box,LR-G,100,100,10,0.802312,0.8058586341142109,0.31
commonsense_qa,Black Box,BB,200,200,N/A,0.6767439999999999,0.6466478883531539,0.0
commonsense_qa,White Box,LR,200,200,18,0.7573399999999999,0.7313776958804228,0.038
commonsense_qa,White Box,DIM,200,200,31,0.765036,0.7556093435974996,0.11
commonsense_qa,White Box,LAT,200,200,25,0.6416660000000001,0.6327325590955989,0.004
commonsense_qa,White Box,CCS,200,200,22,0.775992,0.7602823735472246,0.098
commonsense_qa,White Box,LDA,200,200,19,0.7015079999999999,0.6748668825419778,0.0
commonsense_qa,White Box,PCA,200,200,32,0.750004,0.7400552357788769,0.058
commonsense_qa,White Box,PCA-G,200,200,21,0.763936,0.7486814104271295,0.092
commonsense_qa,White Box,LR-G,200,200,32,0.8816,0.882941989186316,0.546
commonsense_qa,Black Box,BB,500,500,N/A,0.740548,0.7248708543462171,0.0
commonsense_qa,White Box,LR,500,500,18,0.7895459999999999,0.7848810616450839,0.216
commonsense_qa,White Box,DIM,500,500,18,0.7707820000000001,0.7608894259812307,0.144
commonsense_qa,White Box,LAT,500,500,30,0.740904,0.725107437840275,0.014
commonsense_qa,White Box,CCS,500,500,19,0.7885960000000001,0.7780269218031525,0.166
commonsense_qa,White Box,LDA,500,500,19,0.71139,0.6933936388786394,0.04
commonsense_qa,White Box,PCA,500,500,30,0.742564,0.7273561267961972,0.014
commonsense_qa,White Box,PCA-G,500,500,17,0.761084,0.7472923680996412,0.056
commonsense_qa,White Box,LR-G,500,500,16,0.907332,0.9066993904996669,0.694
commonsense_qa,Black Box,BB,1000,1000,N/A,0.7427840000000001,0.731472426495577,0.068
commonsense_qa,White Box,LR,1000,1000,17,0.803978,0.7896723382820737,0.186
commonsense_qa,White Box,DIM,1000,1000,16,0.771386,0.765670717076018,0.152
commonsense_qa,White Box,LAT,1000,1000,32,0.727038,0.7110397386037919,0.01
commonsense_qa,White Box,CCS,1000,1000,17,0.789988,0.7834202603902765,0.238
