Source,Target,Method,Layer_Config,Layer,InDist_AUC,OutDist_AUC,Recovered_AUC,Recovered_MAP,Recovered_BRP_90
commonsense_qa,commonsense_qa,Grouped Logistic Regression,Best,15,0.8128031249999998,0.8128031249999998,1.0,1.0,1.0
commonsense_qa,race,Grouped Logistic Regression,Best,15,0.8128031249999998,0.6552693333333333,0.8061845644765864,0.6734993844224719,0.0
commonsense_qa,arc_easy,Grouped Logistic Regression,Best,15,0.8128031249999998,0.7320146097037952,0.9006050631311184,0.9234617842249653,0.7105344454742044
commonsense_qa,arc_challenge,Grouped Logistic Regression,Best,15,0.8128031249999998,0.601051069420582,0.7394792797094402,0.6014342589952748,0.030646644192460923
commonsense_qa,open_book_qa,Grouped Logistic Regression,Best,15,0.8128031249999998,0.6440746666666666,0.7924116515505113,0.6842724058720658,0.030769230769230767
commonsense_qa,got_cities,Grouped Logistic Regression,Best,15,0.8128031249999998,0.8534021719003583,1.0499494227465702,1.509668335833289,3.4780401117034776
commonsense_qa,got_sp_en_trans,Grouped Logistic Regression,Best,15,0.8128031249999998,0.460166468489893,0.5661475138766144,0.8884897837652485,0.2652519893899204
commonsense_qa,got_larger_than,Grouped Logistic Regression,Best,15,0.8128031249999998,0.8125274815470571,0.9996608730398979,1.5075252526050755,4.246600856770348
commonsense_qa,imdb,Grouped Logistic Regression,Best,15,0.8128031249999998,0.868564,1.0686031749693385,1.4544132726223262,0.43076923076923074
commonsense_qa,amazon_polarity,Grouped Logistic Regression,Best,15,0.8128031249999998,0.406608,0.5002539821681912,0.7894988160066952,0.0
commonsense_qa,ag_news,Grouped Logistic Regression,Best,15,0.8128031249999998,0.8100320000000001,0.9965906565627441,0.9270848830670584,0.030769230769230767
commonsense_qa,dbpedia_14,Grouped Logistic Regression,Best,15,0.8128031249999998,0.9126107519157087,1.1227943444677442,0.6251215503528381,0.0
commonsense_qa,rte,Grouped Logistic Regression,Best,15,0.8128031249999998,0.5883303574919522,0.7238288576854971,1.0253606663820862,0.0
commonsense_qa,copa,Grouped Logistic Regression,Best,15,0.8128031249999998,0.6248,0.768697831962691,1.1195903688664766,0.3076923076923077
commonsense_qa,boolq,Grouped Logistic Regression,Best,15,0.8128031249999998,0.704304,0.8665124165215288,1.1624484699320718,0.19999999999999998
race,commonsense_qa,Grouped Logistic Regression,Best,17,0.759952,0.7288031250000001,0.9590120494452283,0.7860036758453525,0.0
race,race,Grouped Logistic Regression,Best,17,0.759952,0.759952,1.0,1.0,1.0
race,arc_easy,Grouped Logistic Regression,Best,17,0.759952,0.7596404258846303,0.9995900081645029,1.0623025190538677,0.7530120481927711
race,arc_challenge,Grouped Logistic Regression,Best,17,0.759952,0.6715195293591988,0.8836341365759928,0.7521889199648354,0.0
race,open_book_qa,Grouped Logistic Regression,Best,17,0.759952,0.66552,0.8757395203907615,0.8287701120000469,0.0
race,got_cities,Grouped Logistic Regression,Best,17,0.759952,0.23422540273829362,0.30821078533682866,0.7157580466156045,0.0
race,got_sp_en_trans,Grouped Logistic Regression,Best,17,0.759952,0.48335315101070153,0.6360311585609375,1.089660185617104,4.310344827586206
