layer,accuracy,auc
h0,0.8028455284552846,0.9034619515822523
h1,0.8191056910569106,0.9134759976865241
h2,0.8211382113821138,0.9183673469387754
h3,0.8333333333333334,0.9308435924977277
h4,0.8292682926829268,0.9333718912666281
h5,0.8313008130081301,0.9396348012889366
h6,0.8353658536585366,0.9411881351730975
h7,0.8577235772357723,0.9543088490456911
h8,0.8658536585365854,0.9601421135255721
h9,0.8699186991869918,0.9601255886970173
h10,0.8861788617886179,0.9645542427497313
h11,0.8861788617886179,0.9661241014624474
h12,0.8983739837398373,0.968404527803024
h13,0.8902439024390244,0.9666363711476493
h14,0.8841463414634146,0.9669668677187473
h15,0.8882113821138211,0.9696438899446418
h16,0.8922764227642277,0.9690820457737752
h17,0.8841463414634146,0.9657275055771297
h18,0.8658536585365854,0.9614806246385195
h19,0.8556910569105691,0.9580599851276543
h20,0.8597560975609756,0.9536395934892177
h21,0.8638211382113821,0.9478641659092788
h22,0.8617886178861789,0.9458811864826902
h23,0.8556910569105691,0.9435098735850616
h24,0.8536585365853658,0.9394447657605551
h25,0.8516260162601627,0.9415351565727506
h26,0.8556910569105691,0.9385524250185906
h27,0.8556910569105691,0.936734693877551
h28,0.8597560975609756,0.9358093034784765
h29,0.8495934959349594,0.9319838056680163
h30,0.8536585365853658,0.9309262166405023
h31,0.8536585365853658,0.9275634140295795
