layer,accuracy,auc
h0,0.5,0.595959595959596
h1,0.65,0.5858585858585859
h2,0.45,0.5858585858585859
h3,0.45,0.6565656565656566
h4,0.55,0.6060606060606062
h5,0.45,0.6060606060606061
h6,0.45,0.6262626262626263
h7,0.4,0.6161616161616162
h8,0.45,0.6464646464646464
h9,0.45,0.6060606060606062
h10,0.45,0.5757575757575757
h11,0.55,0.6363636363636364
h12,0.5,0.606060606060606
h13,0.45,0.5858585858585859
h14,0.55,0.6161616161616161
h15,0.6,0.5757575757575757
h16,0.55,0.5454545454545454
h17,0.55,0.5353535353535354
h18,0.45,0.4444444444444444
h19,0.3,0.43434343434343436
h20,0.5,0.41414141414141414
h21,0.5,0.4343434343434343
h22,0.4,0.35353535353535354
h23,0.4,0.3434343434343434
h24,0.4,0.3232323232323232
h25,0.3,0.2727272727272727
h26,0.25,0.23232323232323232
h27,0.2,0.2222222222222222
h28,0.25,0.21212121212121213
h29,0.2,0.2121212121212121
h30,0.2,0.20202020202020204
h31,0.2,0.2222222222222222
